issue_number;issue_url;title;domain;domain_source;author;created_at
160;https://github.com/svemailproject/TheySoldMyEmail/issues/160;https://www.coop.ch/;www.coop.ch;body;Bob-Nixkoenner;2025-11-04T16:24:49Z
159;https://github.com/svemailproject/TheySoldMyEmail/issues/159;https://www.migros.ch/;www.migros.ch;body;Bob-Nixkoenner;2025-11-04T16:23:05Z
158;https://github.com/svemailproject/TheySoldMyEmail/issues/158;https://www.apfelkiste.ch/;www.apfelkiste.ch;body;Bob-Nixkoenner;2025-11-04T16:21:39Z
157;https://github.com/svemailproject/TheySoldMyEmail/issues/157;https://www.play-asia.com/;www.play-asia.com;body;Bob-Nixkoenner;2025-11-04T13:57:56Z
156;https://github.com/svemailproject/TheySoldMyEmail/issues/156;https://www.dlcompare.de/;www.dlcompare.de;body;Bob-Nixkoenner;2025-11-04T13:56:23Z
155;https://github.com/svemailproject/TheySoldMyEmail/issues/155;https://www.gamebillet.com/;www.gamebillet.com;body;Bob-Nixkoenner;2025-11-04T13:49:42Z
154;https://github.com/svemailproject/TheySoldMyEmail/issues/154;https://www.wingamestore.com/;www.wingamestore.com;body;Bob-Nixkoenner;2025-11-04T13:47:41Z
153;https://github.com/svemailproject/TheySoldMyEmail/issues/153;https://www.allkeyshop.com/;www.allkeyshop.com;body;Bob-Nixkoenner;2025-11-04T13:46:55Z
152;https://github.com/svemailproject/TheySoldMyEmail/issues/152;https://scdkey.com/;www.de.scdkey.com;body;Bob-Nixkoenner;2025-11-04T13:45:52Z
151;https://github.com/svemailproject/TheySoldMyEmail/issues/151;https://cjs-cdkeys.com/;www.cjs-cdkeys.com;body;Bob-Nixkoenner;2025-11-04T13:45:20Z
150;https://github.com/svemailproject/TheySoldMyEmail/issues/150;https://www.g2play.net/;www.g2play.net;body;Bob-Nixkoenner;2025-11-04T13:44:13Z
149;https://github.com/svemailproject/TheySoldMyEmail/issues/149;https://humblebundle.com/;www.de.humblebundle.com;body;Bob-Nixkoenner;2025-11-04T13:43:43Z
148;https://github.com/svemailproject/TheySoldMyEmail/issues/148;https://www.fanatical.com/;www.fanatical.com;body;Bob-Nixkoenner;2025-11-04T13:43:11Z
147;https://github.com/svemailproject/TheySoldMyEmail/issues/147;https://www.dlgamer.com/;www.dlgamer.com;body;Bob-Nixkoenner;2025-11-04T13:40:38Z
146;https://github.com/svemailproject/TheySoldMyEmail/issues/146;https://gamesplanet.com/;www.de.gamesplanet.com;body;Bob-Nixkoenner;2025-11-04T13:39:46Z
145;https://github.com/svemailproject/TheySoldMyEmail/issues/145;https://www.voidu.com/;www.voidu.com;body;Bob-Nixkoenner;2025-11-04T13:36:25Z
144;https://github.com/svemailproject/TheySoldMyEmail/issues/144;https://www.hrkgame.com/;www.hrkgame.com;body;Bob-Nixkoenner;2025-11-04T13:34:57Z
143;https://github.com/svemailproject/TheySoldMyEmail/issues/143;https://www.greenmangaming.com/;www.greenmangaming.com;body;Bob-Nixkoenner;2025-11-04T13:34:13Z
142;https://github.com/svemailproject/TheySoldMyEmail/issues/142;https://www.loaded.com/;www.loaded.com;body;Bob-Nixkoenner;2025-11-04T13:33:34Z
141;https://github.com/svemailproject/TheySoldMyEmail/issues/141;https://www.gamivo.com/de/;www.gamivo.com;body;Bob-Nixkoenner;2025-11-04T13:32:33Z
140;https://github.com/svemailproject/TheySoldMyEmail/issues/140;https://www.eneba.com/;www.eneba.com;body;Bob-Nixkoenner;2025-11-04T13:31:24Z
139;https://github.com/svemailproject/TheySoldMyEmail/issues/139;https://www.instant-gaming.com/;www.instant-gaming.com;body;Bob-Nixkoenner;2025-11-04T13:30:53Z
138;https://github.com/svemailproject/TheySoldMyEmail/issues/138;https://www.kinguin.net/;www.kinguin.net;body;Bob-Nixkoenner;2025-11-04T13:30:00Z
137;https://github.com/svemailproject/TheySoldMyEmail/issues/137;https://www.g2a.com/de/;www.g2a.com;body;Bob-Nixkoenner;2025-11-04T13:29:21Z
136;https://github.com/svemailproject/TheySoldMyEmail/issues/136;https://www.mmoga.de/;www.mmoga.de;body;Bob-Nixkoenner;2025-11-04T13:24:56Z
135;https://github.com/svemailproject/TheySoldMyEmail/issues/135;https://www.rockstargames.com/;www.rockstargames.com;body;Bob-Nixkoenner;2025-11-04T13:22:36Z
134;https://github.com/svemailproject/TheySoldMyEmail/issues/134;https://www.riotgames.com/de;www.riotgames.com;body;Bob-Nixkoenner;2025-11-04T13:21:54Z
133;https://github.com/svemailproject/TheySoldMyEmail/issues/133;https://www.ubisoft.com/;www.ubisoft.com;body;Bob-Nixkoenner;2025-11-04T13:21:31Z
132;https://github.com/svemailproject/TheySoldMyEmail/issues/132;https://www.epicgames.com/;www.epicgames.com;body;Bob-Nixkoenner;2025-11-04T13:20:43Z
131;https://github.com/svemailproject/TheySoldMyEmail/issues/131;https://steampowered.com/;www.store.steampowered.com;body;Bob-Nixkoenner;2025-11-04T13:20:10Z
130;https://github.com/svemailproject/TheySoldMyEmail/issues/130;https://www.flickr.com/;www.flickr.com;body;Bob-Nixkoenner;2025-11-04T13:18:20Z
129;https://github.com/svemailproject/TheySoldMyEmail/issues/129;https://www.artstation.com/;www.artstation.com;body;Bob-Nixkoenner;2025-11-04T13:17:43Z
128;https://github.com/svemailproject/TheySoldMyEmail/issues/128;https://www.deviantart.com/;www.deviantart.com;body;Bob-Nixkoenner;2025-11-04T13:17:01Z
127;https://github.com/svemailproject/TheySoldMyEmail/issues/127;https://rumble.com/;www.rumble.com;body;Bob-Nixkoenner;2025-11-04T13:15:04Z
